Repo,Description
https://github.com/larrykollar/tines,"Tines is a console-based outliner/planner/notebook. It is a fork of the hnb outliner, which has not been updated in >10 years."
https://github.com/latchai/seneca,literature management for bio programmers
https://github.com/lemnos/theme.sh,A script which lets you set your $terminal theme.
https://github.com/lettier/blender-keymap-trainer,:keyboard: Digital flashcards for memorizing Blender's shortcut keys.
https://github.com/LittleVulpix/toxme,See readme.md. RIP
https://github.com/livingflame/simple-kanban,A very lightweight kanban board
https://github.com/luiscassih/RegeXNumRangeGenerator,A numeric range regex generator for using in Bash
https://github.com/LukeSmithxyz/st,Luke's fork of the suckless simple terminal (st) with vim bindings and Xresource compatibility.
https://github.com/LukeSmithxyz/vul,Latin Vulgate Bible on the Command Line
https://github.com/MaartenBaert/ssr,"SimpleScreenRecorder, a screen recorder for Linux"
https://github.com/maehr/academic-pandoc-template,Write beautiful academic texts with the distraction-free Pandoc Markdown and typademic.
https://github.com/Maproom/qmapshack,Consumer grade GIS software
https://github.com/MarcMilany/archmy_2020,В процессе тестирования Install Linux Legacy BIOS and Uefi
https://github.com/matcornic/subify,Subify - Download subtitles for your favorite TV shows and movies
https://github.com/meskio/tudu,A comand line interface to manage hierarchical todos
https://github.com/micheleb/subslider,A script to fix out of sync subtitles
https://github.com/mirukana/mirage,"A fancy, customizable, keyboard-operable Qt/QML & Python Matrix chat client for encrypted and decentralized communication."
https://github.com/mitchweaver/bin,🗑️ helpful scripts and snippets
https://github.com/mitul45/ta-calendar,"📋 An app to plan your day, just today."
https://github.com/modood/xmrkeygen,A very simple and easy to use monero(xmr) key/wallet generator.
https://github.com/mollyim/mollyim-android,A fork of Signal for Android with passphrase lock.
https://github.com/mozumder/HTML6,An HTML6 proposal for single-page apps without Javascript.
https://github.com/Murzchnvok/rofi-collection,Beautiful collection of Rofi themes
https://github.com/neeshy/lfyt,lf + youtube-dl
https://github.com/ninja33/ODH,A chrome extension to show online dictionary content.
https://github.com/noedigcode/Kanbanapp,Simple offline Kanban-like app.
https://github.com/nsfw-filter/nsfw-filter,🚀 A Google Chrome / Firefox extension that blocks NSFW images from the web pages that you load using TensorFlow JS.
https://github.com/nwg-piotr/nwg-launchers,"GTK-based launchers: application grid, button bar, dmenu for sway and other window managers"
https://github.com/pagekite/PyPagekite,Python implementation of the PageKite remote front-end protocols.
https://github.com/pasky/speedread,A simple terminal-based open source Spritz-alike (per-word RSVP aligned on optimal reading points)
https://github.com/Perdu/wyrd,Fixing wyrd compile issues in a modern archlinux environment
https://github.com/psliwka/vim-smoothie,Smooth scrolling for Vim done right🥤
https://github.com/qTox/qTox,"qTox is a chat, voice, video, and file transfer IM client using the encrypted peer-to-peer Tox protocol."
https://github.com/remipassmoilesel/tor-share,Simple hosting and data sharing on Tor network
https://github.com/rfjakob/earlyoom,earlyoom - Early OOM Daemon for Linux
https://github.com/rkd77/elinks,Fork of elinks
https://github.com/rls-moe/nyx,A simple imageboard with no javascript or dependencies written in Go
https://github.com/rtrevinnoc/FUTURE,"A private, free, open-source search engine built on a P2P network powered by mutual aid"
https://github.com/Rudo2204/gd2anki,[WIP] An attempt to bridge the gap between looking up words in GoldenDict and create flashcard with Anki
https://github.com/s0md3v/ote,"Generate Email, Register for anything, Get the OTP/Link"
https://github.com/saoto28/pineapple60,first ergonomic keyboard with Trackpoint
https://github.com/sayan01/scripts,scripts
https://github.com/shdown/anitomy-cli,"A command-line interface for anitomy, with mpv and shell scripts"
https://github.com/SimonBrazell/privacy-redirect,"A simple web extension that redirects Twitter, YouTube, Instagram & Google Maps requests to privacy friendly alternatives."
https://github.com/singalhimanshu/taskgo,Fast and simple terminal based Kanban board manager
https://github.com/singpolyma/mnemonicode,Fork of http://web.archive.org/web/20101031205747/http://www.tothink.com/mnemonic/
https://github.com/Sioro-Neoku/go-peerflix,Go Peerflix
https://github.com/SiunCyclone/wintile,Tiling Window Manager for Windows OS
https://github.com/skyline75489/Genie,The Simplest Static Blog Generator You'll Ever Seen
https://github.com/tboegi/GpsMaster,
https://github.com/textbrowser/dooble,"Dooble, the scientific browser. Minimal, cute, and unusually stable. Completed."
